18,233.28
17,27.35
16,122.35
73,122.17
66,202.23
77,211.53
62,290.84
8,152.90
58,76.75
11,173.60
93,175.41
37,47.59
82,231.83
8,298.89
67,83.81
12,128.71
10,118.48
5,273.35
76,111.65
89,114.12
96,132.54
1,273.97
12,121.23
84,118.2
20,130.61
38,146.72
66,242.53
90,26.23
73,284.80
7,8.55
58,80.27
29,15.74
40,50.72
55,79.59
22,121.62
40,53.47
59,267.27
70,61.57
12,142.84
37,262.38
92,36.31
74,77.7
48,147.29
88,98.97
92,251.39
72,142.14
12,121.83
96,37.61
19,67.47
92,129.33
22,91.50
9,90.0
47,288.5
31,280.71
41,35.70
8,121.40
61,284.15
84,44.76
49,281.83
88,49.68
68,85.86
67,212.23
17,41.76
90,149.16
92,27.36
77,252.71
27,213.64
12,277.44
94,173.43
42,258.76
56,190.54
92,132.50
99,216.79
77,21.49
41,144.79
3,280.76
14,260.55
42,269.23
98,105.26
21,135.17
77,186.91
69,154.90
57,203.48
8,37.5
100,144.37
67,104.1
87,23.78
13,287.8
69,115.90
3,219.48
63,110.96
7,98.0
80,216.65
66,73.93
72,243.80
55,13.78
66,95.48
77,193.24
51,86.29
5,74.35
10,185.27
52,80.24
90,20.14
9,52.97
59,130.85
76,47.31
16,85.39
14,255.20
37,48.41
65,287.38
52,187.50
52,203.48
26,203.34
94,202.50
40,26.63
58,275.9
85,150.55
42,157.82
16,115.90
74,223.17
92,259.55
85,268.70
53,113.54
12,146.99
40,174.25
81,91.74
70,80.12
18,2.29
14,223.64
6,167.37
85,118.73
71,252.84
19,130.86
96,197.21
62,106.1
16,223.31
100,142.87
99,273.55
28,294.13
48,194.34
84,213.69
62,236.9
60,160.68
12,280.89
16,265.35
58,260.91
69,272.30
98,21.65
22,212.75
91,261.35
58,77.43
15,269.48
58,228.1
72,30.69
75,104.47
95,99.17
94,193.21
55,237.86
35,158.39
42,25.64
32,139.5
60,105.42
86,34.55
25,240.67
98,20.41
95,226.77
44,210.78
38,132.58
21,218.76
58,123.92
38,12.24
55,241.52
36,95.48
37,43.77
58,86.47
45,124.17
73,17.42
93,233.95
45,122.63
29,229.25
42,82.84
20,215.68
12,107.27
64,27.37
26,94.40
86,2.85
56,1.8
68,171.34
98,263.70
61,237.69
59,88.13
28,169.19
43,90.13
11,43.96
22,117.37
56,32.59
46,23.43
13,59.86
4,38.86
22,165.39
92,113.92
65,12.67
22,7.14
41,280.35
20,100.54
33,74.17
36,2.96
84,228.28
62,167.55
87,220.41
43,236.28
15,21.38
81,222.39
77,279.61
98,259.33
58,107.11
74,20.68
53,203.83
73,80.53
15,9.67
4,163.12
